Tip Matrice,Tip alocare,Nr threads,Timp executie
"N=10 M=10 n=3 m=3",static,1,0.014600
"N=10 M=10 n=3 m=3",dynamic,1,0.001000
"N=10 M=10 n=3 m=3",static,4,0.136500
"N=10 M=10 n=3 m=3",static,4,0.063200
"N=10 M=10 n=3 m=3",dynamic,4,0.052400
"N=10 M=10 n=3 m=3",dynamic,4,0.049000
"N=10 M=10 n=3 m=3",dynamic,1,0.001100
"N=1000 M=1000 n=5 m=5",static,1,21.999700
"N=1000 M=1000 n=5 m=5",dynamic,1,18.524600
"N=1000 M=1000 n=5 m=5",static,2,11.159500
"N=1000 M=1000 n=5 m=5",dynamic,2,9.268600
"N=1000 M=1000 n=5 m=5",static,2,12.498200
"N=1000 M=1000 n=5 m=5",dynamic,2,11.106900
"N=1000 M=1000 n=5 m=5",static,4,5.752900
"N=1000 M=1000 n=5 m=5",dynamic,4,4.723800
"N=1000 M=1000 n=5 m=5",static,4,7.792600
"N=1000 M=1000 n=5 m=5",dynamic,4,6.104300
"N=1000 M=1000 n=5 m=5",static,8,3.496100
"N=1000 M=1000 n=5 m=5",dynamic,8,2.506100
"N=1000 M=1000 n=5 m=5",static,8,7.675400
"N=1000 M=1000 n=5 m=5",dynamic,8,4.029600
"N=1000 M=1000 n=5 m=5",static,16,3.288600
"N=1000 M=1000 n=5 m=5",dynamic,16,2.451200
"N=1000 M=1000 n=5 m=5",static,16,9.504900
"N=1000 M=1000 n=5 m=5",dynamic,16,3.330000
"N=10 M=10000 n=5 m=5",static,1,2.217700
"N=10 M=10000 n=5 m=5",dynamic,1,1.926700
"N=10 M=10000 n=5 m=5",static,2,1.139400
"N=10 M=10000 n=5 m=5",dynamic,2,1.015300
"N=10 M=10000 n=5 m=5",static,2,1.155000
"N=10 M=10000 n=5 m=5",dynamic,2,1.091400
"N=10 M=10000 n=5 m=5",static,4,0.619800
"N=10 M=10000 n=5 m=5",dynamic,4,0.619400
"N=10 M=10000 n=5 m=5",static,4,0.720500
"N=10 M=10000 n=5 m=5",dynamic,4,0.677800
"N=10 M=10000 n=5 m=5",static,8,0.538800
"N=10 M=10000 n=5 m=5",dynamic,8,0.454600
"N=10 M=10000 n=5 m=5",static,8,0.455300
"N=10 M=10000 n=5 m=5",dynamic,8,0.393000
"N=10 M=10000 n=5 m=5",static,16,0.505100
"N=10 M=10000 n=5 m=5",dynamic,16,0.458700
"N=10 M=10000 n=5 m=5",static,16,0.488100
"N=10 M=10000 n=5 m=5",dynamic,16,0.498600
"N=10000 M=10 n=5 m=5",static,1,24.010900
"N=10000 M=10 n=5 m=5",dynamic,1,1.961200
"N=10000 M=10 n=5 m=5",static,2,12.887100
"N=10000 M=10 n=5 m=5",dynamic,2,1.007900
"N=10000 M=10 n=5 m=5",static,2,25.432000
"N=10000 M=10 n=5 m=5",dynamic,2,1.045100
"N=10000 M=10 n=5 m=5",static,4,8.145300
"N=10000 M=10 n=5 m=5",dynamic,4,0.539800
"N=10000 M=10 n=5 m=5",static,4,26.754200
"N=10000 M=10 n=5 m=5",dynamic,4,0.662600
"N=10000 M=10 n=5 m=5",static,8,9.071400
"N=10000 M=10 n=5 m=5",dynamic,8,0.367000
"N=10000 M=10 n=5 m=5",static,8,40.438400
"N=10000 M=10 n=5 m=5",dynamic,8,0.471200
"N=10000 M=10 n=5 m=5",static,16,9.688700
"N=10000 M=10 n=5 m=5",dynamic,16,0.381100
"N=10000 M=10 n=5 m=5",static,16,46.654800
"N=10000 M=10 n=5 m=5",dynamic,16,0.457800
"N=10000 M=10000 n=5 m=5",static,1,2255.671000
"N=10000 M=10000 n=5 m=5",dynamic,1,2042.786900
"N=10000 M=10000 n=5 m=5",static,2,1180.174700
"N=10000 M=10000 n=5 m=5",dynamic,2,1121.450200
"N=10000 M=10000 n=5 m=5",static,2,1610.109800
"N=10000 M=10000 n=5 m=5",dynamic,2,2647.447700
"N=10000 M=10000 n=5 m=5",static,4,598.512700
"N=10000 M=10000 n=5 m=5",dynamic,4,538.798900
"N=10000 M=10000 n=5 m=5",static,4,977.603200
"N=10000 M=10000 n=5 m=5",dynamic,4,1678.710700
"N=10000 M=10000 n=5 m=5",static,8,350.644200
"N=10000 M=10000 n=5 m=5",dynamic,8,305.769200
"N=10000 M=10000 n=5 m=5",static,8,753.201900
"N=10000 M=10000 n=5 m=5",dynamic,8,1114.952700
"N=10000 M=10000 n=5 m=5",static,16,288.055200
"N=10000 M=10000 n=5 m=5",dynamic,16,226.205900
"N=10000 M=10000 n=5 m=5",static,16,597.732800
"N=10000 M=10000 n=5 m=5",dynamic,16,902.097600